09-05-2019 00:00:31 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 00:03:57 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 00:03:57 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 00:04:46 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 00:04:46 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 00:05:15 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 00:05:15 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 00:07:35 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 00:07:35 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 00:25:26 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 00:25:26 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 00:39:37 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 00:39:37 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:18:38 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:18:38 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:23:01 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:23:02 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:24:42 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:24:42 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:24:58 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:24:58 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:25:22 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:25:22 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:29:13 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:29:13 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:29:35 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:29:35 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:30:12 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:30:12 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:30:32 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:30:32 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
